Langtag,Lognrwords,COMPATIBLE,INCOMPATIBLE
gv,1,6638,1093
gv,0,61671,640
gv,3,86,8
gv,2,2917,112
gv,4,4,1
gu,11,14,0
gu,10,32,6
gu,13,0,2
gu,12,1,0
gu,1,3030391,14267
gu,0,224173,10167
gu,3,3278,2809
gu,2,52040,10177
gu,5,18209,542
gu,4,13949,1081
gu,7,4093,68
gu,6,71630,219
gu,9,207,4
gu,8,1609,53
gs,1,0,7877
gs,0,0,3604
gs,3,0,61
gs,2,0,1631
gs,4,0,3
gr,1,0,316
gr,0,0,1259
gr,3,0,4
gr,2,0,72
vr,1,0,7827
vr,0,0,264
vr,2,0,14
ge,1,0,309
ge,0,0,38
ge,3,0,5
ge,2,0,60
gd,10,10,0
gd,1,32361,10439
gd,0,6394,5248
gd,3,6299,101
gd,2,4500,1536
gd,5,15503,92
gd,4,12981,260
gd,7,2116,15
gd,6,13195,49
gd,9,71,3
gd,8,509,3
gc,1,0,24
gc,0,0,12
gc,2,0,2
ga,10,14,0
ga,1,96324,79133
ga,0,49464,29890
ga,3,30856,5009
ga,2,30506,31727
ga,5,35835,366
ga,4,32303,606
ga,7,7486,20
ga,6,35084,66
ga,9,507,6
ga,8,3208,12
go,1,0,7352
go,0,0,437
go,2,0,6
gn,1,19163,286
gn,0,635,155
gn,3,13,10
gn,2,180,113
gn,4,1,1
gm,2,0,1
gl,11,20,2
gl,10,109,2
gl,12,11,0
gl,14,1,0
gl,1,731673,2680145
gl,0,89717,188733
gl,3,45595,26908
gl,2,153200,147610
gl,5,256015,7970
gl,4,121915,9536
gl,7,43277,285
gl,6,187558,2964
gl,9,1560,11
gl,8,12655,95
eb,1,0,12
eb,0,0,21
eb,3,0,1
eb,2,0,7
lk,1,0,3
xo,1,0,18
xo,0,0,34
xo,2,0,6
lf,1,0,10
lf,0,0,2
lf,2,0,1
lf,5,0,1
lf,4,0,1
lg,1,31,81
lg,0,13,119
lg,3,0,1
lg,2,30,16
ha,1,75,8180
ha,0,33,757
ha,3,1,5
ha,2,13,152
lb,11,8,0
lb,10,15,8
lb,1,72892,71127
lb,0,23807,31942
lb,3,41638,4603
lb,2,21401,30279
lb,5,99322,1399
lb,4,60911,4422
lb,7,13587,67
lb,6,54582,563
lb,9,338,10
lb,8,3222,47
la,11,10,0
la,10,20,0
la,13,2,0
la,12,2,0
la,1,265518,374205
la,0,31676,111462
la,3,207940,8535
la,2,88877,78768
la,5,180497,2046
la,4,187124,2943
la,7,8619,169
la,6,77708,633
la,9,273,0
la,8,1497,82
ln,1,347,15255
ln,0,134,609
ln,3,24,0
ln,2,162,57
ln,4,4,0
lo,1,19387,2875
lo,0,27135,1291
lo,3,178,1
lo,2,562,66
lo,4,7,0
tt,11,2,0
tt,10,18,0
tt,1,234734,34386
tt,0,127039,44291
tt,3,36084,780
tt,2,72639,12855
tt,5,27367,57
tt,4,77672,135
tt,7,2040,49
tt,6,8491,67
tt,9,70,0
tt,8,513,4
lm,1,0,5423
lm,0,0,4592
lm,3,0,22
lm,2,0,718
tr,11,74,11
tr,10,469,26
tr,12,16,8
tr,1,1281782,1113942
tr,0,364034,395365
tr,3,294423,59295
tr,2,512518,391142
tr,5,606508,5572
tr,4,306173,12781
tr,7,84692,811
tr,6,209095,1981
tr,9,3364,65
tr,8,23762,457
ts,1,45,258
ts,0,26,146
ts,2,12,17
tp,1,0,320
tp,0,0,100
tp,2,0,97
tp,4,0,1
li,1,0,21205
li,0,0,6266
li,3,0,59
li,2,0,1130
li,5,0,2
li,4,0,7
lv,11,12,0
lv,10,54,0
lv,1,420499,177503
lv,0,135125,103891
lv,3,47379,7726
lv,2,137576,73456
lv,5,158490,806
lv,4,78344,1052
lv,7,21629,44
lv,6,90128,397
lv,9,342,2
lv,8,3816,12
to,1,422,393
to,0,46,220
to,3,3,24
to,2,40,30
to,5,0,1
to,4,0,3
lt,11,4,0
lt,10,47,3
lt,1,1090272,398860
lt,0,362726,302845
lt,3,324226,14296
lt,2,314763,129838
lt,5,403730,2290
lt,4,259420,3073
lt,7,37825,136
lt,6,149494,704
lt,9,462,24
lt,8,6292,76
lu,1,0,42
lu,0,0,78
lu,3,0,1
lu,2,0,17
tk,1,1678,271
tk,0,429,143
tk,3,10,1
tk,2,226,6
th,11,4,2
th,10,81,0
th,1,975961,182894
th,0,1656274,154991
th,3,196090,21628
th,2,213411,124350
th,5,122869,997
th,4,242884,4021
th,7,5531,76
th,6,37166,338
th,9,152,2
th,8,645,14
ti,1,8,104
ti,0,0,24
ti,3,3,0
ti,2,8,4
ti,4,2,0
tg,11,11,4
tg,10,38,2
tg,15,0,1
tg,1,48290,15465
tg,0,6512,16690
tg,3,30995,294
tg,2,18534,5295
tg,5,7969,162
tg,4,14667,62
tg,7,1041,50
tg,6,4643,222
tg,9,144,6
tg,8,359,15
te,11,52,1
te,10,83,2
te,13,0,1
te,12,10,1
te,1,307217,37733
te,0,264980,40503
te,3,53502,7268
te,2,97430,25214
te,5,55439,1180
te,4,25688,2280
te,7,8666,152
te,6,20445,582
te,9,270,19
te,8,2598,63
lz,1,0,7311
lz,0,0,6407
lz,2,0,10
tc,1,0,2
tc,0,0,3
tc,2,0,2
ta,11,7,0
ta,10,51,3
ta,12,1,0
ta,1,734545,61334
ta,0,374736,82964
ta,3,48192,7463
ta,2,119320,35147
ta,5,164504,688
ta,4,119888,2070
ta,7,13985,31
ta,6,38085,232
ta,9,207,4
ta,8,2394,6
yi,11,2,0
yi,10,8,0
yi,1,16916,2679
yi,0,66722,929
yi,3,3293,141
yi,2,5018,1498
yi,5,9732,21
yi,4,7417,21
yi,7,1972,23
yi,6,9264,15
yi,9,70,1
yi,8,577,7
kb,1,0,311
kb,0,0,69
